"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"09:03:50:08","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.1","MPC-3626"
"09:03:50:09","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:50:10","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:50:11","A032C003_2511017F"," 29 64959R CMot","","29","","25.623","0.6","-0.2","MPC-3626"
"09:03:50:12","A032C003_2511017F"," 29 64959R CMot","","29","","25.558","0.6","-0.2","MPC-3626"
"09:03:50:13","A032C003_2511017F"," 29 64959R CMot","","29","","25.459","0.6","-0.2","MPC-3626"
"09:03:50:14","A032C003_2511017F"," 29 64959R CMot","","29","","25.459","0.6","-0.2","MPC-3626"
"09:03:50:15","A032C003_2511017F"," 29 64959R CMot","","29","","25.459","0.6","-0.2","MPC-3626"
"09:03:50:16","A032C003_2511017F"," 29 64959R CMot","","29","","25.459","0.6","-0.2","MPC-3626"
"09:03:50:17","A032C003_2511017F"," 29 64959R CMot","","29","","25.459","0.7","-0.2","MPC-3626"
"09:03:50:18","A032C003_2511017F"," 29 64959R CMot","","29","","25.558","0.7","-0.2","MPC-3626"
"09:03:50:19","A032C003_2511017F"," 29 64959R CMot","","29","","25.558","0.6","-0.1","MPC-3626"
"09:03:50:20","A032C003_2511017F"," 29 64959R CMot","","29","","25.558","0.6","-0.1","MPC-3626"
"09:03:50:21","A032C003_2511017F"," 29 64959R CMot","","29","","25.558","0.6","-0.1","MPC-3626"
"09:03:50:22","A032C003_2511017F"," 29 64959R CMot","","29","","25.558","0.6","-0.2","MPC-3626"
"09:03:50:23","A032C003_2511017F"," 29 64959R CMot","","29","","25.558","0.6","-0.2","MPC-3626"
"09:03:51:00","A032C003_2511017F"," 29 64959R CMot","","29","","25.558","0.7","-0.1","MPC-3626"
"09:03:51:01","A032C003_2511017F"," 29 64959R CMot","","29","","25.558","0.7","-0.1","MPC-3626"
"09:03:51:02","A032C003_2511017F"," 29 64959R CMot","","29","","25.558","0.7","-0.1","MPC-3626"
"09:03:51:03","A032C003_2511017F"," 29 64959R CMot","","29","","25.558","0.7","-0.1","MPC-3626"
"09:03:51:04","A032C003_2511017F"," 29 64959R CMot","","29","","25.459","0.7","-0.1","MPC-3626"
"09:03:51:05","A032C003_2511017F"," 29 64959R CMot","","29","","25.394","0.6","-0.2","MPC-3626"
"09:03:51:06","A032C003_2511017F"," 29 64959R CMot","","29","","25.23","0.6","-0.2","MPC-3626"
"09:03:51:07","A032C003_2511017F"," 29 64959R CMot","","29","","25.098","0.6","-0.2","MPC-3626"
"09:03:51:08","A032C003_2511017F"," 29 64959R CMot","","29","","25","0.6","-0.1","MPC-3626"
"09:03:51:09","A032C003_2511017F"," 29 64959R CMot","","29","","24.77","0.6","-0.1","MPC-3626"
"09:03:51:10","A032C003_2511017F"," 29 64959R CMot","","29","","24.639","0.6","-0.1","MPC-3626"
"09:03:51:11","A032C003_2511017F"," 29 64959R CMot","","29","","24.573","0.6","-0.1","MPC-3626"
"09:03:51:12","A032C003_2511017F"," 29 64959R CMot","","29","","24.573","0.6","-0.1","MPC-3626"
"09:03:51:13","A032C003_2511017F"," 29 64959R CMot","","29","","24.508","0.6","-0.2","MPC-3626"
"09:03:51:14","A032C003_2511017F"," 29 64959R CMot","","29","","24.344","0.6","-0.2","MPC-3626"
"09:03:51:15","A032C003_2511017F"," 29 64959R CMot","","29","","24.213","0.6","-0.2","MPC-3626"
"09:03:51:16","A032C003_2511017F"," 29 64959R CMot","","29","","24.081","0.6","-0.2","MPC-3626"
"09:03:51:17","A032C003_2511017F"," 29 64959R CMot","","29","","23.983","0.6","-0.2","MPC-3626"
"09:03:51:18","A032C003_2511017F"," 29 64959R CMot","","29","","23.983","0.7","-0.1","MPC-3626"
"09:03:51:19","A032C003_2511017F"," 29 64959R CMot","","29","","23.852","0.7","-0.1","MPC-3626"
"09:03:51:20","A032C003_2511017F"," 29 64959R CMot","","29","","23.786","0.7","-0.1","MPC-3626"
"09:03:51:21","A032C003_2511017F"," 29 64959R CMot","","29","","23.655","0.7","-0.1","MPC-3626"
"09:03:51:22","A032C003_2511017F"," 29 64959R CMot","","29","","23.589","0.7","-0.1","MPC-3626"
"09:03:51:23","A032C003_2511017F"," 29 64959R CMot","","29","","23.524","0.7","-0.1","MPC-3626"
"09:03:52:00","A032C003_2511017F"," 29 64959R CMot","","29","","23.458","0.7","-0.1","MPC-3626"
"09:03:52:01","A032C003_2511017F"," 29 64959R CMot","","29","","23.327","0.7","-0.1","MPC-3626"
"09:03:52:02","A032C003_2511017F"," 29 64959R CMot","","29","","23.261","0.7","-0.1","MPC-3626"
"09:03:52:03","A032C003_2511017F"," 29 64959R CMot","","29","","23.064","0.7","-0.1","MPC-3626"
"09:03:52:04","A032C003_2511017F"," 29 64959R CMot","","29","","23.064","0.7","-0.1","MPC-3626"
"09:03:52:05","A032C003_2511017F"," 29 64959R CMot","","29","","22.999","0.7","-0.1","MPC-3626"
"09:03:52:06","A032C003_2511017F"," 29 64959R CMot","","29","","22.999","0.7","-0.1","MPC-3626"
